id,minute,result,X,Y,xG,player,h_a,player_id,situation,year,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
32522,22,MissedShots,0.785999985,0.52,0.038670398,Lionel Messi,h,2097,OpenPlay,2014,LeftFoot,5831,Barcelona,Elche,3,0,24-08-2014 20:00,Rafinha,Pass
32525,41,Goal,0.861999969,0.615,0.068701506,Lionel Messi,h,2097,OpenPlay,2014,LeftFoot,5831,Barcelona,Elche,3,0,24-08-2014 20:00,Sergio Busquets,BallRecovery
32529,62,Goal,0.86,0.435,0.15034306,Lionel Messi,h,2097,OpenPlay,2014,LeftFoot,5831,Barcelona,Elche,3,0,24-08-2014 20:00,NA,TakeOn
32769,3,SavedShot,0.818000031,0.38,0.045503296,Lionel Messi,a,2097,OpenPlay,2014,LeftFoot,5842,Villarreal,Barcelona,0,1,31-08-2014 18:00,Pedro,Pass
32787,71,BlockedShot,0.885,0.602000008,0.114679076,Lionel Messi,a,2097,OpenPlay,2014,LeftFoot,5842,Villarreal,Barcelona,0,1,31-08-2014 18:00,Rafinha,Pass
32788,76,BlockedShot,0.875999985,0.439000015,0.106274523,Lionel Messi,a,2097,OpenPlay,2014,RightFoot,5842,Villarreal,Barcelona,0,1,31-08-2014 18:00,Dani Alves,Pass
32790,81,SavedShot,0.954000015,0.335999985,0.310020328,Lionel Messi,a,2097,OpenPlay,2014,LeftFoot,5842,Villarreal,Barcelona,0,1,31-08-2014 18:00,NA,None
32789,81,BlockedShot,0.896999969,0.447000008,0.125717297,Lionel Messi,a,2097,OpenPlay,2014,LeftFoot,5842,Villarreal,Barcelona,0,1,31-08-2014 18:00,Neymar,Pass
33012,36,MissedShots,0.895999985,0.532000008,0.041229811,Lionel Messi,h,2097,OpenPlay,2014,Head,5787,Barcelona,Athletic Club,2,0,13-09-2014 15:00,Ivan Rakitic,Aerial
33013,40,BlockedShot,0.873000031,0.565,0.099425271,Lionel Messi,h,2097,OpenPlay,2014,LeftFoot,5787,Barcelona,Athletic Club,2,0,13-09-2014 15:00,Munir,Pass
33697,22,BlockedShot,0.769000015,0.570999985,0.025321772,Lionel Messi,a,2097,OpenPlay,2014,LeftFoot,5804,Levante,Barcelona,0,5,21-09-2014 20:00,NA,None
33714,76,Goal,0.86,0.487000008,0.468037456,Lionel Messi,a,2097,OpenPlay,2014,RightFoot,5804,Levante,Barcelona,0,5,21-09-2014 20:00,NA,None
33391,25,MissedShots,0.919000015,0.52,0.106473565,Lionel Messi,a,2097,OpenPlay,2014,OtherBodyPart,5813,Malaga,Barcelona,0,0,24-09-2014 21:00,Jordi Alba,Cross
35699,61,Goal,0.953000031,0.537999992,0.571601391,Lionel Messi,h,2097,OpenPlay,2014,Head,5818,Barcelona,Granada,6,0,27-09-2014 17:00,Dani Alves,Cross
35702,77,SavedShot,0.828000031,0.384000015,0.075615123,Lionel Messi,h,2097,OpenPlay,2014,LeftFoot,5818,Barcelona,Granada,6,0,27-09-2014 17:00,Sergi Roberto,Pass
35705,81,Goal,0.903000031,0.454000015,0.460050017,Lionel Messi,h,2097,OpenPlay,2014,RightFoot,5818,Barcelona,Granada,6,0,27-09-2014 17:00,NA,BallRecovery
34578,13,SavedShot,0.946999969,0.4,0.31323728,Lionel Messi,a,2097,OpenPlay,2014,RightFoot,5756,Rayo Vallecano,Barcelona,0,2,04-10-2014 17:00,Neymar,Chipped
34580,34,Goal,0.92,0.627000008,0.286970377,Lionel Messi,a,2097,OpenPlay,2014,LeftFoot,5756,Rayo Vallecano,Barcelona,0,2,04-10-2014 17:00,Gerard Piqué,Chipped
34591,64,BlockedShot,0.964000015,0.39,0.382415324,Lionel Messi,a,2097,OpenPlay,2014,RightFoot,5756,Rayo Vallecano,Barcelona,0,2,04-10-2014 17:00,Jeremy Mathieu,Pass
34598,81,MissedShots,0.859000015,0.465999985,0.128279686,Lionel Messi,a,2097,OpenPlay,2014,LeftFoot,5756,Rayo Vallecano,Barcelona,0,2,04-10-2014 17:00,Xavi,Pass
34600,83,MissedShots,0.933000031,0.41,0.429149896,Lionel Messi,a,2097,OpenPlay,2014,RightFoot,5756,Rayo Vallecano,Barcelona,0,2,04-10-2014 17:00,Xavi,Pass
