minute,result,X,Y,xG,player,h_a,player_id,situation,year,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
25,BlockedShot,0.960999985,0.572000008,0.596103013,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14156,Barcelona,Villarreal,4,0,27-09-2020 19:00,Anssumane Fati,Pass
48,SavedShot,0.894000015,0.585,0.13612701,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14156,Barcelona,Villarreal,4,0,27-09-2020 19:00,Anssumane Fati,Throughball
65,SavedShot,0.874000015,0.258999996,0.051176287,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14156,Barcelona,Villarreal,4,0,27-09-2020 19:00,Frenkie de Jong,Pass
71,MissedShots,0.911999969,0.492999992,0.409951925,Lionel Messi,h,2097,OpenPlay,2020,Head,14156,Barcelona,Villarreal,4,0,27-09-2020 19:00,Jordi Alba,Cross
85,SavedShot,0.858000031,0.455999985,0.086302333,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14156,Barcelona,Villarreal,4,0,27-09-2020 19:00,NA,Rebound
91,BlockedShot,0.961999969,0.658000031,0.075428814,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14156,Barcelona,Villarreal,4,0,27-09-2020 19:00,Trincão,TakeOn
94,SavedShot,0.929000015,0.688000031,0.446327388,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14165,Celta Vigo,Barcelona,0,3,01-10-2020 19:30,Frenkie de Jong,TakeOn
42,MissedShots,0.875,0.305,0.064127594,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14817,Barcelona,Sevilla,1,1,04-10-2020 19:00,Sergio Busquets,TakeOn
80,SavedShot,0.756999969,0.580999985,0.023183538,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14817,Barcelona,Sevilla,1,1,04-10-2020 19:00,Sergiño Dest,Pass
93,MissedShots,0.748000031,0.245,0.017218063,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14817,Barcelona,Sevilla,1,1,04-10-2020 19:00,Sergio Busquets,Pass
19,ShotOnPost,0.84,0.632999992,0.058221526,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14830,Getafe,Barcelona,1,0,17-10-2020 19:00,Sergiño Dest,Pass
93,MissedShots,0.868000031,0.535999985,0.040119424,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14830,Getafe,Barcelona,1,0,17-10-2020 19:00,Gerard Piqué,Aerial
18,SavedShot,0.755999985,0.625999985,0.022679653,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14836,Barcelona,Real Madrid,1,3,24-10-2020 14:00,Frenkie de Jong,TakeOn
23,SavedShot,0.949000015,0.41,0.361253232,Lionel Messi,h,2097,OpenPlay,2020,RightFoot,14836,Barcelona,Real Madrid,1,3,24-10-2020 14:00,Anssumane Fati,TakeOn
45,SavedShot,0.873000031,0.59,0.084434025,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14845,Alaves,Barcelona,1,1,31-10-2020 20:00,Anssumane Fati,Pass
47,SavedShot,0.964000015,0.746999969,0.036931932,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14845,Alaves,Barcelona,1,1,31-10-2020 20:00,Anssumane Fati,None
50,SavedShot,0.891999969,0.694000015,0.037839819,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14845,Alaves,Barcelona,1,1,31-10-2020 20:00,Pedri,TakeOn
64,SavedShot,0.889000015,0.387999992,0.093920887,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14845,Alaves,Barcelona,1,1,31-10-2020 20:00,Sergi Roberto,Pass
93,BlockedShot,0.785999985,0.387999992,0.042574953,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14845,Alaves,Barcelona,1,1,31-10-2020 20:00,Pedri,LayOff
81,Goal,0.931999969,0.369000015,0.381431997,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14856,Barcelona,Real Betis,5,2,07-11-2020 15:15,Sergi Roberto,Pass
87,SavedShot,0.92,0.387999992,0.125298485,Lionel Messi,h,2097,OpenPlay,2020,RightFoot,14856,Barcelona,Real Betis,5,2,07-11-2020 15:15,Miralem Pjanic,Pass
40,SavedShot,0.965,0.625999985,0.315915436,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14867,Atletico Madrid,Barcelona,1,0,21-11-2020 20:00,Jordi Alba,Pass
73,BlockedShot,0.800999985,0.495999985,0.047846265,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14867,Atletico Madrid,Barcelona,1,0,21-11-2020 20:00,Ousmane Dembélé,Pass
14,BlockedShot,0.911999969,0.703000031,0.044425778,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14875,Barcelona,Osasuna,4,0,29-11-2020 13:00,Frenkie de Jong,Pass
72,Goal,0.824000015,0.572999992,0.088589676,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14875,Barcelona,Osasuna,4,0,29-11-2020 13:00,Trincão,Pass
49,SavedShot,0.815,0.545999985,0.056794409,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14885,Cadiz,Barcelona,2,1,05-12-2020 20:00,Martin Braithwaite,Pass
53,BlockedShot,0.798000031,0.57,0.041429576,Lionel Messi,a,2097,OpenPlay,2020,RightFoot,14885,Cadiz,Barcelona,2,1,05-12-2020 20:00,Ousmane Dembélé,Pass
72,SavedShot,0.785999985,0.334000015,0.022172045,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14885,Cadiz,Barcelona,2,1,05-12-2020 20:00,Antoine Griezmann,Pass
83,SavedShot,0.865999985,0.515999985,0.089570567,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14885,Cadiz,Barcelona,2,1,05-12-2020 20:00,Antoine Griezmann,Pass
12,BlockedShot,0.855999985,0.675999985,0.048911534,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14898,Barcelona,Levante,1,0,13-12-2020 20:00,Jordi Alba,Pass
25,MissedShots,0.89,0.51,0.088285722,Lionel Messi,h,2097,OpenPlay,2020,Head,14898,Barcelona,Levante,1,0,13-12-2020 20:00,Antoine Griezmann,Cross
29,MissedShots,0.823000031,0.350999985,0.038065732,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14898,Barcelona,Levante,1,0,13-12-2020 20:00,Frenkie de Jong,Pass
50,BlockedShot,0.968000031,0.648000031,0.072198786,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14898,Barcelona,Levante,1,0,13-12-2020 20:00,Jordi Alba,Pass
53,MissedShots,0.800999985,0.595999985,0.036356252,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14898,Barcelona,Levante,1,0,13-12-2020 20:00,Antoine Griezmann,Pass
62,SavedShot,0.908000031,0.594000015,0.117465347,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14898,Barcelona,Levante,1,0,13-12-2020 20:00,Antoine Griezmann,Pass
70,SavedShot,0.976999969,0.656999969,0.060197938,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14898,Barcelona,Levante,1,0,13-12-2020 20:00,NA,None
75,Goal,0.879000015,0.619000015,0.305873692,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14898,Barcelona,Levante,1,0,13-12-2020 20:00,Frenkie de Jong,Pass
80,SavedShot,0.96,0.639000015,0.106106341,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14898,Barcelona,Levante,1,0,13-12-2020 20:00,Martin Braithwaite,Pass
2,BlockedShot,0.870999985,0.572000008,0.095620468,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14905,Barcelona,Real Sociedad,2,1,16-12-2020 20:00,Pedri,Pass
22,MissedShots,0.764000015,0.447999992,0.026101723,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14905,Barcelona,Real Sociedad,2,1,16-12-2020 20:00,Antoine Griezmann,Pass
47,SavedShot,0.864000015,0.656999969,0.071577072,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14905,Barcelona,Real Sociedad,2,1,16-12-2020 20:00,Sergio Busquets,Pass
19,BlockedShot,0.744000015,0.305,0.013550824,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14909,Barcelona,Valencia,2,2,19-12-2020 15:15,Pedri,LayOff
39,BlockedShot,0.756999969,0.557000008,0.030890021,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14909,Barcelona,Valencia,2,2,19-12-2020 15:15,Sergio Busquets,TakeOn
50,BlockedShot,0.768000031,0.587000008,0.025376741,Lionel Messi,h,2097,OpenPlay,2020,RightFoot,14909,Barcelona,Valencia,2,2,19-12-2020 15:15,Jordi Alba,Pass
62,BlockedShot,0.844000015,0.385999985,0.077003941,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14909,Barcelona,Valencia,2,2,19-12-2020 15:15,Sergiño Dest,Pass
74,SavedShot,0.805999985,0.490999985,0.071647063,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14909,Barcelona,Valencia,2,2,19-12-2020 15:15,Frenkie de Jong,TakeOn
83,SavedShot,0.811999969,0.475,0.043896247,Lionel Messi,h,2097,OpenPlay,2020,RightFoot,14909,Barcelona,Valencia,2,2,19-12-2020 15:15,NA,Rebound
85,MissedShots,0.76,0.29,0.019917894,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14909,Barcelona,Valencia,2,2,19-12-2020 15:15,Miralem Pjanic,Pass
6,MissedShots,0.803000031,0.492999992,0.046756253,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14924,Real Valladolid,Barcelona,0,3,22-12-2020 21:00,Frenkie de Jong,Pass
20,SavedShot,0.845999985,0.622999992,0.059957139,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14924,Real Valladolid,Barcelona,0,3,22-12-2020 21:00,Pedri,Pass
22,BlockedShot,0.726999969,0.34,0.022365924,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14924,Real Valladolid,Barcelona,0,3,22-12-2020 21:00,Miralem Pjanic,Pass
36,SavedShot,0.885999985,0.397000008,0.124662571,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14924,Real Valladolid,Barcelona,0,3,22-12-2020 21:00,Sergiño Dest,Pass
44,SavedShot,0.860999985,0.455,0.107433826,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14924,Real Valladolid,Barcelona,0,3,22-12-2020 21:00,Pedri,Chipped
55,BlockedShot,0.885999985,0.666999969,0.095824182,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14924,Real Valladolid,Barcelona,0,3,22-12-2020 21:00,Jordi Alba,Pass
57,SavedShot,0.88,0.602000008,0.125854775,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14924,Real Valladolid,Barcelona,0,3,22-12-2020 21:00,Frenkie de Jong,Pass
64,Goal,0.908000031,0.615,0.335706681,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14924,Real Valladolid,Barcelona,0,3,22-12-2020 21:00,Pedri,Pass
72,SavedShot,0.94,0.620999985,0.11910934,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14924,Real Valladolid,Barcelona,0,3,22-12-2020 21:00,Júnior Firpo,Pass
91,ShotOnPost,0.951999969,0.607999992,0.370002836,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14924,Real Valladolid,Barcelona,0,3,22-12-2020 21:00,Sergio Busquets,Pass
93,SavedShot,0.770999985,0.49,0.044714149,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14924,Real Valladolid,Barcelona,0,3,22-12-2020 21:00,Sergiño Dest,Pass
8,MissedShots,0.943000031,0.337000008,0.039061692,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14942,SD Huesca,Barcelona,0,1,03-01-2021 20:00,Jordi Alba,Cross
30,BlockedShot,0.805999985,0.316000004,0.032561444,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14942,SD Huesca,Barcelona,0,1,03-01-2021 20:00,Sergiño Dest,Pass
50,MissedShots,0.818000031,0.445,0.075523071,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14942,SD Huesca,Barcelona,0,1,03-01-2021 20:00,Sergio Busquets,Pass
