index,player,team,minute,type,shot_type,shot_outcome,xG,x,y
3546,Lionel Andrés Messi Cuccittini,Barcelona,34,Shot,Open Play,Blocked,0.08326895,111.7,29.3
3553,Lionel Andrés Messi Cuccittini,Barcelona,52,Shot,Open Play,Post,0.36633158,107.4,42.7
3516,Lionel Andrés Messi Cuccittini,Barcelona,30,Shot,Open Play,Wayward,0.22241062,111.6,50.8
3518,Lionel Andrés Messi Cuccittini,Barcelona,39,Shot,Open Play,Off T,0.44528413,106.8,40.5
2848,Lionel Andrés Messi Cuccittini,Barcelona,30,Shot,Open Play,Goal,0.28289887,109.8,30.7
2855,Lionel Andrés Messi Cuccittini,Barcelona,42,Shot,Open Play,Off T,0.26745933,107.6,30.7
2867,Lionel Andrés Messi Cuccittini,Barcelona,74,Shot,Open Play,Off T,0.27035794,106.9,35.2
3075,Lionel Andrés Messi Cuccittini,Barcelona,67,Shot,Open Play,Blocked,0.0787708,105.9,30.3
3076,Lionel Andrés Messi Cuccittini,Barcelona,68,Shot,Open Play,Off T,0.0931088,112.2,36
3084,Lionel Andrés Messi Cuccittini,Barcelona,86,Shot,Open Play,Saved,0.033280667,104.7,24.1
3224,Lionel Andrés Messi Cuccittini,Barcelona,64,Shot,Open Play,Off T,0.06748738,103.4,48.9
2960,Lionel Andrés Messi Cuccittini,Barcelona,20,Shot,Open Play,Goal,0.16674687,103.7,34.6
2963,Lionel Andrés Messi Cuccittini,Barcelona,33,Shot,Open Play,Off T,0.30250254,113.1,39.9
2970,Lionel Andrés Messi Cuccittini,Barcelona,51,Shot,Open Play,Saved,0.079120226,100.8,47.8
2974,Lionel Andrés Messi Cuccittini,Barcelona,76,Shot,Open Play,Off T,0.1068615,109.3,38.7
3068,Lionel Andrés Messi Cuccittini,Barcelona,35,Shot,Open Play,Off T,0.055029,115.7,51.5
3076,Lionel Andrés Messi Cuccittini,Barcelona,80,Shot,Open Play,Saved,0.03896182,94.8,42
3081,Lionel Andrés Messi Cuccittini,Barcelona,91,Shot,Open Play,Blocked,0.0291166,102.3,40
2845,Lionel Andrés Messi Cuccittini,Barcelona,35,Shot,Open Play,Saved,0.38120398,111.8,50.4
2848,Lionel Andrés Messi Cuccittini,Barcelona,41,Shot,Open Play,Blocked,0.08398396,104.1,48.3
2851,Lionel Andrés Messi Cuccittini,Barcelona,48,Shot,Open Play,Blocked,0.05882345,97.9,45.1
2854,Lionel Andrés Messi Cuccittini,Barcelona,56,Shot,Open Play,Off T,0.06894159,96.4,39.5
2861,Lionel Andrés Messi Cuccittini,Barcelona,65,Shot,Open Play,Blocked,0.033817872,100.8,50.3
3649,Lionel Andrés Messi Cuccittini,Barcelona,18,Shot,Open Play,Goal,0.1798376,113,34.8
3654,Lionel Andrés Messi Cuccittini,Barcelona,40,Shot,Open Play,Saved,0.026974823,105,56.1
3658,Lionel Andrés Messi Cuccittini,Barcelona,51,Shot,Open Play,Blocked,0.03371584,107,50.5
3662,Lionel Andrés Messi Cuccittini,Barcelona,62,Shot,Open Play,Off T,0.21616177,113.1,39.8
3590,Lionel Andrés Messi Cuccittini,Barcelona,17,Shot,Open Play,Wayward,0.044350706,110.7,43
3602,Lionel Andrés Messi Cuccittini,Barcelona,60,Shot,Open Play,Saved,0.35465404,107.5,44.9
3609,Lionel Andrés Messi Cuccittini,Barcelona,91,Shot,Open Play,Off T,0.045959122,103.2,51.8
3064,Lionel Andrés Messi Cuccittini,Barcelona,42,Shot,Open Play,Blocked,0.09135689,104.7,44.1
3069,Lionel Andrés Messi Cuccittini,Barcelona,59,Shot,Open Play,Blocked,0.033405304,98.4,30
3208,Lionel Andrés Messi Cuccittini,Barcelona,5,Shot,Open Play,Saved,0.06246955,110.4,54.2
3210,Lionel Andrés Messi Cuccittini,Barcelona,15,Shot,Open Play,Saved,0.04336849,108.1,53.1
3222,Lionel Andrés Messi Cuccittini,Barcelona,51,Shot,Open Play,Blocked,0.029385814,95,41.3
3225,Lionel Andrés Messi Cuccittini,Barcelona,67,Shot,Open Play,Off T,0.01041942,100.8,58.1
3233,Lionel Andrés Messi Cuccittini,Barcelona,91,Shot,Open Play,Goal,0.2154491,110.6,28.5
2662,Lionel Andrés Messi Cuccittini,Barcelona,18,Shot,Open Play,Goal,0.09453583,112.7,51.9
