index,player,team,minute,type,shot_type,shot_outcome,xG,x,y
3384,Lionel Andrés Messi Cuccittini,Barcelona,81,Shot,Open Play,Goal,0.34771886,115.6,35.1
3340,Lionel Andrés Messi Cuccittini,Barcelona,90,Shot,Open Play,Goal,0.1916186,106,29.3
3101,Lionel Andrés Messi Cuccittini,Barcelona,30,Shot,Open Play,Saved,0.015413201,86.4,37.7
2917,Lionel Andrés Messi Cuccittini,Barcelona,83,Shot,Open Play,Saved,0.24787226,108.7,30.9
2918,Lionel Andrés Messi Cuccittini,Barcelona,83,Shot,Open Play,Goal,0.3176531,117.2,32.7
2597,Lionel Andrés Messi Cuccittini,Barcelona,2,Shot,Open Play,Blocked,0.020914854,99.8,49.3
2611,Lionel Andrés Messi Cuccittini,Barcelona,47,Shot,Open Play,Saved,0.032090276,109.5,53.1
2612,Lionel Andrés Messi Cuccittini,Barcelona,49,Shot,Open Play,Wayward,0.03124667,107.7,47.8
2614,Lionel Andrés Messi Cuccittini,Barcelona,50,Shot,Open Play,Goal,0.5074808,116.2,32.8
3204,Lionel Andrés Messi Cuccittini,Barcelona,63,Shot,Open Play,Wayward,0.07342926,110,36
3207,Lionel Andrés Messi Cuccittini,Barcelona,70,Shot,Open Play,Off T,0.07780058,112.5,35.9
3612,Lionel Andrés Messi Cuccittini,Barcelona,26,Shot,Open Play,Saved,0.052257787,99.1,49.6
2728,Lionel Andrés Messi Cuccittini,Barcelona,25,Shot,Open Play,Blocked,0.0920006,107.9,46.5
2729,Lionel Andrés Messi Cuccittini,Barcelona,33,Shot,Open Play,Off T,0.41058657,107.4,42.2
3345,Lionel Andrés Messi Cuccittini,Barcelona,91,Shot,Open Play,Saved,0.3231269,105.9,34.9
3273,Lionel Andrés Messi Cuccittini,Barcelona,67,Shot,Open Play,Saved,0.019229043,95.9,59.6
3276,Lionel Andrés Messi Cuccittini,Barcelona,79,Shot,Open Play,Off T,0.043919772,98.4,53.3
3567,Lionel Andrés Messi Cuccittini,Barcelona,13,Shot,Open Play,Blocked,0.013815062,94.2,56.4
3570,Lionel Andrés Messi Cuccittini,Barcelona,30,Shot,Open Play,Saved,0.16607751,100.8,41.2
3573,Lionel Andrés Messi Cuccittini,Barcelona,40,Shot,Open Play,Off T,0.05412199,110.6,43.4
3576,Lionel Andrés Messi Cuccittini,Barcelona,47,Shot,Open Play,Blocked,0.06384667,115.6,52.4
3580,Lionel Andrés Messi Cuccittini,Barcelona,55,Shot,Open Play,Saved,0.25719088,109.6,51.5
3582,Lionel Andrés Messi Cuccittini,Barcelona,66,Shot,Open Play,Off T,0.014080339,91.5,18.3
3583,Lionel Andrés Messi Cuccittini,Barcelona,67,Shot,Open Play,Blocked,0.055173215,101,49.4
2876,Lionel Andrés Messi Cuccittini,Barcelona,86,Shot,Open Play,Saved,0.14160459,112.8,27.2
2877,Lionel Andrés Messi Cuccittini,Barcelona,88,Shot,Open Play,Saved,0.27123448,110,41
2753,Lionel Andrés Messi Cuccittini,Barcelona,71,Shot,Open Play,Saved,0.1377951,102,39.8
3299,Lionel Andrés Messi Cuccittini,Barcelona,75,Shot,Open Play,Goal,0.24680826,107.5,35.4
3301,Lionel Andrés Messi Cuccittini,Barcelona,81,Shot,Open Play,Goal,0.1597886,109.8,27.1
3345,Lionel Andrés Messi Cuccittini,Barcelona,6,Shot,Open Play,Off T,0.023669595,97.9,49.8
3348,Lionel Andrés Messi Cuccittini,Barcelona,25,Shot,Open Play,Post,0.22916389,113,39.2
3352,Lionel Andrés Messi Cuccittini,Barcelona,34,Shot,Open Play,Saved,0.021287162,114.5,23.7
3359,Lionel Andrés Messi Cuccittini,Barcelona,45,Shot,Open Play,Blocked,0.28447708,113.7,27.6
3370,Lionel Andrés Messi Cuccittini,Barcelona,86,Shot,Open Play,Saved,0.17090918,102.4,45.4
2935,Lionel Andrés Messi Cuccittini,Barcelona,77,Shot,Open Play,Saved,0.026975118,107.1,38.7
3494,Lionel Andrés Messi Cuccittini,Barcelona,20,Shot,Open Play,Blocked,0.016848586,93.4,53.2
3499,Lionel Andrés Messi Cuccittini,Barcelona,29,Shot,Open Play,Blocked,0.14291513,105.5,32
3505,Lionel Andrés Messi Cuccittini,Barcelona,51,Shot,Open Play,Goal,0.1794559,104.9,44.7
3786,Lionel Andrés Messi Cuccittini,Barcelona,19,Shot,Open Play,Blocked,0.011246364,87.4,41
3793,Lionel Andrés Messi Cuccittini,Barcelona,44,Shot,Open Play,Off T,0.014271177,108.7,19.2
3092,Lionel Andrés Messi Cuccittini,Barcelona,18,Shot,Open Play,Off T,0.1463228,107.6,29.6
3100,Lionel Andrés Messi Cuccittini,Barcelona,65,Shot,Open Play,Saved,0.072469346,97.7,34
3477,Lionel Andrés Messi Cuccittini,Barcelona,4,Shot,Open Play,Off T,0.03812042,116.8,53.6
2766,Lionel Andrés Messi Cuccittini,Barcelona,87,Shot,Open Play,Wayward,0.012929477,94.4,52.2
3175,Lionel Andrés Messi Cuccittini,Barcelona,32,Shot,Open Play,Saved,0.01226997,106.3,60
3178,Lionel Andrés Messi Cuccittini,Barcelona,38,Shot,Open Play,Goal,0.33219627,108.7,35.5
3185,Lionel Andrés Messi Cuccittini,Barcelona,47,Shot,Open Play,Blocked,0.0956511,114.2,54.7
3199,Lionel Andrés Messi Cuccittini,Barcelona,79,Shot,Open Play,Goal,0.24346772,108.7,29.7
3203,Lionel Andrés Messi Cuccittini,Barcelona,88,Shot,Open Play,Saved,0.17956308,106.9,30.2
3177,Lionel Andrés Messi Cuccittini,Barcelona,24,Shot,Open Play,Off T,0.057110466,99.7,51.3
3184,Lionel Andrés Messi Cuccittini,Barcelona,46,Shot,Open Play,Off T,0.048453357,99,35.2
3185,Lionel Andrés Messi Cuccittini,Barcelona,83,Shot,Open Play,Saved,0.27666762,107.5,34
3572,Lionel Andrés Messi Cuccittini,Barcelona,23,Shot,Open Play,Saved,0.0207642,98.9,30.3
3582,Lionel Andrés Messi Cuccittini,Barcelona,43,Shot,Open Play,Saved,0.03709666,98.8,48.1
3586,Lionel Andrés Messi Cuccittini,Barcelona,59,Shot,Open Play,Goal,0.14521845,104,36.1
3253,Lionel Andrés Messi Cuccittini,Barcelona,46,Shot,Open Play,Blocked,0.020845134,99,56.8
3264,Lionel Andrés Messi Cuccittini,Barcelona,76,Shot,Open Play,Off T,0.12889773,106.2,26.3
3374,Lionel Andrés Messi Cuccittini,Barcelona,9,Shot,Open Play,Blocked,0.017831445,97.5,51.3
3381,Lionel Andrés Messi Cuccittini,Barcelona,44,Shot,Open Play,Goal,0.43066207,111.3,36.4
3056,Lionel Andrés Messi Cuccittini,Barcelona,15,Shot,Open Play,Off T,0.057840757,112.7,29.1
3063,Lionel Andrés Messi Cuccittini,Barcelona,32,Shot,Open Play,Saved,0.040925607,100,43.7
3067,Lionel Andrés Messi Cuccittini,Barcelona,43,Shot,Open Play,Goal,0.5799225,115.7,42
3069,Lionel Andrés Messi Cuccittini,Barcelona,46,Shot,Open Play,Blocked,0.023562104,103.8,56.2
3072,Lionel Andrés Messi Cuccittini,Barcelona,56,Shot,Open Play,Goal,0.2063314,113.2,50.8
3083,Lionel Andrés Messi Cuccittini,Barcelona,82,Shot,Open Play,Blocked,0.124752566,107.9,42.6
2972,Lionel Andrés Messi Cuccittini,Barcelona,56,Shot,Open Play,Blocked,0.05296077,119.4,49.1
2974,Lionel Andrés Messi Cuccittini,Barcelona,57,Shot,Open Play,Blocked,0.13473251,114.5,48.9
2975,Lionel Andrés Messi Cuccittini,Barcelona,57,Shot,Open Play,Wayward,0.037347298,104.1,42.6
4026,Lionel Andrés Messi Cuccittini,Barcelona,34,Shot,Open Play,Blocked,0.028359698,105.6,53.3
4039,Lionel Andrés Messi Cuccittini,Barcelona,85,Shot,Open Play,Blocked,0.017304782,108.8,57.2
