id,minute,result,X,Y,xG,player,h_a,player_id,situation,year,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
355413,17,BlockedShot,0.875,0.630999985,0.071352646,Lionel Messi,h,2097,OpenPlay,2019,LeftFoot,12214,Barcelona,Granada,1,0,19-01-2020 20:00,Arturo Vidal,Pass
355418,44,MissedShots,0.865999985,0.582999992,0.094835714,Lionel Messi,h,2097,OpenPlay,2019,LeftFoot,12214,Barcelona,Granada,1,0,19-01-2020 20:00,Jordi Alba,Pass
355420,49,MissedShots,0.740999985,0.430999985,0.019623747,Lionel Messi,h,2097,OpenPlay,2019,LeftFoot,12214,Barcelona,Granada,1,0,19-01-2020 20:00,Anssumane Fati,Pass
355426,75,Goal,0.865,0.510999985,0.393865764,Lionel Messi,h,2097,OpenPlay,2019,RightFoot,12214,Barcelona,Granada,1,0,19-01-2020 20:00,Arturo Vidal,Pass
355427,78,SavedShot,0.784000015,0.542000008,0.049059354,Lionel Messi,h,2097,OpenPlay,2019,LeftFoot,12214,Barcelona,Granada,1,0,19-01-2020 20:00,Sergio Busquets,Pass
355429,87,BlockedShot,0.779000015,0.527999992,0.047090057,Lionel Messi,h,2097,OpenPlay,2019,LeftFoot,12214,Barcelona,Granada,1,0,19-01-2020 20:00,Carles Pérez,Pass
355812,3,BlockedShot,0.809000015,0.678000031,0.030881142,Lionel Messi,a,2097,OpenPlay,2019,LeftFoot,12231,Valencia,Barcelona,2,0,25-01-2020 15:00,Antoine Griezmann,Pass
355824,57,BlockedShot,0.91,0.544000015,0.411921918,Lionel Messi,a,2097,OpenPlay,2019,LeftFoot,12231,Valencia,Barcelona,2,0,25-01-2020 15:00,Jordi Alba,Pass
355825,58,MissedShots,0.835999985,0.632999992,0.053189825,Lionel Messi,a,2097,OpenPlay,2019,LeftFoot,12231,Valencia,Barcelona,2,0,25-01-2020 15:00,Antoine Griezmann,Pass
355826,67,MissedShots,0.848000031,0.686999969,0.043709695,Lionel Messi,a,2097,OpenPlay,2019,LeftFoot,12231,Valencia,Barcelona,2,0,25-01-2020 15:00,Jordi Alba,Pass
355827,69,MissedShots,0.88,0.442999992,0.047537774,Lionel Messi,a,2097,OpenPlay,2019,Head,12231,Valencia,Barcelona,2,0,25-01-2020 15:00,Antoine Griezmann,Cross
355830,85,SavedShot,0.750999985,0.499000015,0.022246297,Lionel Messi,a,2097,OpenPlay,2019,LeftFoot,12231,Valencia,Barcelona,2,0,25-01-2020 15:00,Ivan Rakitic,Pass
355833,92,SavedShot,0.913000031,0.632000008,0.082768999,Lionel Messi,a,2097,OpenPlay,2019,LeftFoot,12231,Valencia,Barcelona,2,0,25-01-2020 15:00,Arturo Vidal,Pass
357417,12,MissedShots,0.851999969,0.52,0.096060753,Lionel Messi,h,2097,OpenPlay,2019,LeftFoot,12233,Barcelona,Levante,2,1,02-02-2020 20:00,Anssumane Fati,Pass
357418,16,SavedShot,0.825,0.489000015,0.079802155,Lionel Messi,h,2097,OpenPlay,2019,LeftFoot,12233,Barcelona,Levante,2,1,02-02-2020 20:00,NA,TakeOn
357422,28,SavedShot,0.860999985,0.539000015,0.093644924,Lionel Messi,h,2097,OpenPlay,2019,LeftFoot,12233,Barcelona,Levante,2,1,02-02-2020 20:00,Anssumane Fati,Pass
