index,player,team,minute,type,shot_type,shot_outcome,xG,x,y
3717,Lionel Andrés Messi Cuccittini,Barcelona,20,Shot,Open Play,Saved,0.14472897,107.8,52
3721,Lionel Andrés Messi Cuccittini,Barcelona,28,Shot,Open Play,Off T,0.04606171,119.4,47.6
3722,Lionel Andrés Messi Cuccittini,Barcelona,31,Shot,Open Play,Off T,0.03969194,105.8,23.6
3725,Lionel Andrés Messi Cuccittini,Barcelona,37,Shot,Open Play,Off T,0.21370329,110,39.4
3727,Lionel Andrés Messi Cuccittini,Barcelona,42,Shot,Open Play,Off T,0.2885682,107.7,44.2
3734,Lionel Andrés Messi Cuccittini,Barcelona,67,Shot,Open Play,Blocked,0.16824594,110.9,42.5
3735,Lionel Andrés Messi Cuccittini,Barcelona,70,Shot,Open Play,Blocked,0.047485925,98.9,35.7
3738,Lionel Andrés Messi Cuccittini,Barcelona,82,Shot,Open Play,Blocked,0.057119593,109.8,36.5
3739,Lionel Andrés Messi Cuccittini,Barcelona,82,Shot,Open Play,Post,0.035495277,109.8,36.9
3915,Lionel Andrés Messi Cuccittini,Barcelona,68,Shot,Open Play,Off T,0.07656663,109.3,39.7
3920,Lionel Andrés Messi Cuccittini,Barcelona,80,Shot,Open Play,Saved,0.05909243,106.3,26.9
3773,Lionel Andrés Messi Cuccittini,Barcelona,40,Shot,Open Play,Off T,0.09718842,100.4,42.9
3780,Lionel Andrés Messi Cuccittini,Barcelona,71,Shot,Open Play,Off T,0.1571026,107.2,38.4
3783,Lionel Andrés Messi Cuccittini,Barcelona,85,Shot,Open Play,Goal,0.65275055,113.4,43.1
3429,Lionel Andrés Messi Cuccittini,Barcelona,13,Shot,Open Play,Saved,0.27285835,108,37.1
3443,Lionel Andrés Messi Cuccittini,Barcelona,59,Shot,Open Play,Off T,0.39791685,103.9,34
3944,Lionel Andrés Messi Cuccittini,Barcelona,4,Shot,Open Play,Blocked,0.13242981,103.6,47.8
3948,Lionel Andrés Messi Cuccittini,Barcelona,15,Shot,Open Play,Saved,0.5216607,107.2,42
3950,Lionel Andrés Messi Cuccittini,Barcelona,29,Shot,Open Play,Goal,0.5606054,113.3,47.7
3902,Lionel Andrés Messi Cuccittini,Barcelona,19,Shot,Open Play,Blocked,0.019387132,109.9,57
3907,Lionel Andrés Messi Cuccittini,Barcelona,27,Shot,Open Play,Off T,0.11197934,110.5,49.4
3913,Lionel Andrés Messi Cuccittini,Barcelona,45,Shot,Open Play,Off T,0.056290146,108.5,45.2
3914,Lionel Andrés Messi Cuccittini,Barcelona,46,Shot,Open Play,Blocked,0.033881195,97.3,41.3
3918,Lionel Andrés Messi Cuccittini,Barcelona,56,Shot,Open Play,Saved,0.31391653,112.1,49.5
3923,Lionel Andrés Messi Cuccittini,Barcelona,78,Shot,Open Play,Saved,0.037378427,106,28
3925,Lionel Andrés Messi Cuccittini,Barcelona,80,Shot,Open Play,Saved,0.076304,107.8,50.5
3928,Lionel Andrés Messi Cuccittini,Barcelona,90,Shot,Open Play,Saved,0.0772686,100.9,32
3929,Lionel Andrés Messi Cuccittini,Barcelona,92,Shot,Open Play,Saved,0.06436812,117.5,52.3
3263,Lionel Andrés Messi Cuccittini,Barcelona,5,Shot,Open Play,Blocked,0.034357116,113,52.9
3270,Lionel Andrés Messi Cuccittini,Barcelona,24,Shot,Open Play,Saved,0.03355578,99.2,48.6
3272,Lionel Andrés Messi Cuccittini,Barcelona,30,Shot,Open Play,Blocked,0.04486386,97,43.8
3277,Lionel Andrés Messi Cuccittini,Barcelona,46,Shot,Open Play,Saved,0.18769851,113,45.9
3279,Lionel Andrés Messi Cuccittini,Barcelona,57,Shot,Open Play,Off T,0.049235124,103.8,47
3280,Lionel Andrés Messi Cuccittini,Barcelona,59,Shot,Open Play,Blocked,0.045621518,95,49
3282,Lionel Andrés Messi Cuccittini,Barcelona,62,Shot,Open Play,Blocked,0.12913851,111.1,39.1
3740,Lionel Andrés Messi Cuccittini,Barcelona,9,Shot,Open Play,Saved,0.18738912,114,47.1
3741,Lionel Andrés Messi Cuccittini,Barcelona,16,Shot,Open Play,Blocked,0.026830789,103.2,27
3742,Lionel Andrés Messi Cuccittini,Barcelona,16,Shot,Open Play,Off T,0.28254968,112.2,35.1
3757,Lionel Andrés Messi Cuccittini,Barcelona,70,Shot,Open Play,Blocked,0.08086181,111.1,48.4
3764,Lionel Andrés Messi Cuccittini,Barcelona,82,Shot,Open Play,Saved,0.12729648,96.1,22.9
3501,Lionel Andrés Messi Cuccittini,Barcelona,15,Shot,Open Play,Blocked,0.10911349,107.5,32.7
3512,Lionel Andrés Messi Cuccittini,Barcelona,53,Shot,Open Play,Saved,0.088777505,108.1,39.8
3524,Lionel Andrés Messi Cuccittini,Barcelona,88,Shot,Open Play,Blocked,0.05159158,99,33.7
3303,Lionel Andrés Messi Cuccittini,Barcelona,17,Shot,Open Play,Off T,0.13296652,110.9,38.4
3318,Lionel Andrés Messi Cuccittini,Barcelona,55,Shot,Open Play,Blocked,0.047040723,106.2,53.4
3327,Lionel Andrés Messi Cuccittini,Barcelona,87,Shot,Open Play,Off T,0.093702435,113,41.3
3739,Lionel Andrés Messi Cuccittini,Barcelona,18,Shot,Open Play,Blocked,0.094182506,98.8,39.6
3742,Lionel Andrés Messi Cuccittini,Barcelona,22,Shot,Open Play,Goal,0.18485516,106.9,38.7
3747,Lionel Andrés Messi Cuccittini,Barcelona,48,Shot,Open Play,Saved,0.04763362,95.9,41.6
3751,Lionel Andrés Messi Cuccittini,Barcelona,62,Shot,Open Play,Blocked,0.03701606,96.2,46
3759,Lionel Andrés Messi Cuccittini,Barcelona,75,Shot,Open Play,Off T,0.22571656,106.4,33.5
3386,Lionel Andrés Messi Cuccittini,Barcelona,11,Shot,Open Play,Goal,0.24464066,111.7,34.4
3392,Lionel Andrés Messi Cuccittini,Barcelona,29,Shot,Open Play,Saved,0.024939813,107.5,21
3397,Lionel Andrés Messi Cuccittini,Barcelona,53,Shot,Open Play,Saved,0.33870938,111.5,37
3401,Lionel Andrés Messi Cuccittini,Barcelona,60,Shot,Open Play,Saved,0.074128754,100.3,35.7
3381,Lionel Andrés Messi Cuccittini,Barcelona,12,Shot,Open Play,Blocked,0.07688064,109.9,48.3
3386,Lionel Andrés Messi Cuccittini,Barcelona,37,Shot,Open Play,Blocked,0.049885146,100.4,41.2
3391,Lionel Andrés Messi Cuccittini,Barcelona,58,Shot,Open Play,Saved,0.25214064,111.1,29.4
3393,Lionel Andrés Messi Cuccittini,Barcelona,61,Shot,Open Play,Blocked,0.10299865,105,36.3
3400,Lionel Andrés Messi Cuccittini,Barcelona,87,Shot,Open Play,Blocked,0.063022345,103.3,40
3608,Lionel Andrés Messi Cuccittini,Barcelona,10,Shot,Open Play,Blocked,0.032145288,96,44
3612,Lionel Andrés Messi Cuccittini,Barcelona,20,Shot,Open Play,Off T,0.15985255,109.8,51.9
3691,Lionel Andrés Messi Cuccittini,Barcelona,21,Shot,Open Play,Off T,0.12873797,110.1,34.5
3702,Lionel Andrés Messi Cuccittini,Barcelona,45,Shot,Open Play,Blocked,0.022603534,100.9,46.3
4118,Lionel Andrés Messi Cuccittini,Barcelona,20,Shot,Open Play,Goal,0.07228296,100.7,46.2
4120,Lionel Andrés Messi Cuccittini,Barcelona,25,Shot,Open Play,Off T,0.068247475,103.6,39.4
3960,Lionel Andrés Messi Cuccittini,Barcelona,78,Shot,Open Play,Off T,0.045586545,96.2,30.5
3961,Lionel Andrés Messi Cuccittini,Barcelona,81,Shot,Open Play,Saved,0.1392294,114.9,46
3129,Lionel Andrés Messi Cuccittini,Barcelona,60,Shot,Open Play,Saved,0.057369433,112.1,52.9
