,Unnamed: 0,index,player,team,minute,type,shot_type,shot_outcome,xG,x,y
0,0,4117,Lionel Andrés Messi Cuccittini,Barcelona,28,Shot,Open Play,Off T,0.07934415,95.5,36.5
1,4,4122,Lionel Andrés Messi Cuccittini,Barcelona,56,Shot,Open Play,Goal,0.034766253,98.4,35.2
2,6,4125,Lionel Andrés Messi Cuccittini,Barcelona,87,Shot,Open Play,Goal,0.5141719,110.9,45.1
3,0,4041,Lionel Andrés Messi Cuccittini,Barcelona,41,Shot,Open Play,Off T,0.0714066,101.2,35.2
4,12,3767,Lionel Andrés Messi Cuccittini,Barcelona,70,Shot,Open Play,Goal,0.89180094,114.5,37.9
5,15,3770,Lionel Andrés Messi Cuccittini,Barcelona,92,Shot,Open Play,Saved,0.23920971,108.3,29.6
6,3,4375,Lionel Andrés Messi Cuccittini,Barcelona,24,Shot,Open Play,Goal,0.39713922,111.6,36.3
7,9,4383,Lionel Andrés Messi Cuccittini,Barcelona,53,Shot,Open Play,Saved,0.12544447,103.8,46.1
8,12,4389,Lionel Andrés Messi Cuccittini,Barcelona,69,Shot,Open Play,Goal,0.094296545,107.3,31.9
9,14,4392,Lionel Andrés Messi Cuccittini,Barcelona,90,Shot,Open Play,Off T,0.24511163,108.2,39.0
10,6,3931,Lionel Andrés Messi Cuccittini,Barcelona,58,Shot,Open Play,Blocked,0.02379798,95.2,41.6
11,9,3934,Lionel Andrés Messi Cuccittini,Barcelona,63,Shot,Open Play,Blocked,0.024517773,104.7,25.6
12,10,3935,Lionel Andrés Messi Cuccittini,Barcelona,66,Shot,Open Play,Goal,0.04667348,102.7,45.5
13,11,3936,Lionel Andrés Messi Cuccittini,Barcelona,68,Shot,Open Play,Blocked,0.041866917,106.2,37.0
14,2,4368,Lionel Andrés Messi Cuccittini,Barcelona,10,Shot,Open Play,Wayward,0.24534398,106.6,38.7
15,3,4371,Lionel Andrés Messi Cuccittini,Barcelona,14,Shot,Open Play,Saved,0.169377,110.3,27.0
16,4,4372,Lionel Andrés Messi Cuccittini,Barcelona,18,Shot,Open Play,Saved,0.1515699,110.4,51.0
17,9,4385,Lionel Andrés Messi Cuccittini,Barcelona,69,Shot,Open Play,Blocked,0.07027434,99.9,44.5
18,2,4028,Lionel Andrés Messi Cuccittini,Barcelona,17,Shot,Open Play,Goal,0.1363341,99.3,36.9
19,3,4032,Lionel Andrés Messi Cuccittini,Barcelona,24,Shot,Open Play,Saved,0.25274304,114.2,31.0
20,4,4036,Lionel Andrés Messi Cuccittini,Barcelona,42,Shot,Open Play,Goal,0.18808633,107.5,51.5
21,6,4043,Lionel Andrés Messi Cuccittini,Barcelona,76,Shot,Open Play,Goal,0.05458296,104.9,26.7
22,11,4673,Lionel Andrés Messi Cuccittini,Barcelona,87,Shot,Open Play,Goal,0.31942043,112.0,43.0
23,5,4076,Lionel Andrés Messi Cuccittini,Barcelona,14,Shot,Open Play,Wayward,0.040794205,114.6,31.7
24,15,4094,Lionel Andrés Messi Cuccittini,Barcelona,90,Shot,Open Play,Saved,0.055318102,106.0,26.7
25,10,3554,Lionel Andrés Messi Cuccittini,Barcelona,77,Shot,Open Play,Goal,0.6762343,115.1,40.4
26,1,4202,Lionel Andrés Messi Cuccittini,Barcelona,7,Shot,Open Play,Off T,0.15491544,111.8,41.5
27,2,4204,Lionel Andrés Messi Cuccittini,Barcelona,12,Shot,Open Play,Goal,0.26751727,112.1,33.2
28,3,4206,Lionel Andrés Messi Cuccittini,Barcelona,30,Shot,Open Play,Post,0.1728164,111.1,37.5
29,5,4208,Lionel Andrés Messi Cuccittini,Barcelona,36,Shot,Open Play,Off T,0.086306855,111.2,36.1
30,7,4212,Lionel Andrés Messi Cuccittini,Barcelona,56,Shot,Open Play,Blocked,0.22042742,115.3,33.3
31,10,4215,Lionel Andrés Messi Cuccittini,Barcelona,62,Shot,Open Play,Saved,0.041428324,99.7,46.6
32,13,4220,Lionel Andrés Messi Cuccittini,Barcelona,88,Shot,Open Play,Off T,0.09196441,109.1,38.3
33,3,4008,Lionel Andrés Messi Cuccittini,Barcelona,37,Shot,Open Play,Saved,0.33666375,113.5,46.3
34,4,4009,Lionel Andrés Messi Cuccittini,Barcelona,41,Shot,Open Play,Off T,0.18027645,114.1,45.3
35,7,4013,Lionel Andrés Messi Cuccittini,Barcelona,49,Shot,Open Play,Goal,0.5537067,112.5,36.6
36,12,4020,Lionel Andrés Messi Cuccittini,Barcelona,83,Shot,Open Play,Off T,0.022441445,103.9,48.0
37,14,4025,Lionel Andrés Messi Cuccittini,Barcelona,92,Shot,Open Play,Saved,0.28702363,107.4,49.2
38,0,4366,Lionel Andrés Messi Cuccittini,Barcelona,21,Shot,Open Play,Off T,0.03424128,94.8,41.1
39,5,4374,Lionel Andrés Messi Cuccittini,Barcelona,38,Shot,Open Play,Blocked,0.03407737,99.4,53.1
40,7,4376,Lionel Andrés Messi Cuccittini,Barcelona,46,Shot,Open Play,Goal,0.25842017,105.8,29.2
41,8,4378,Lionel Andrés Messi Cuccittini,Barcelona,51,Shot,Open Play,Goal,0.10246232,112.8,34.5
42,12,4387,Lionel Andrés Messi Cuccittini,Barcelona,90,Shot,Open Play,Saved,0.027706724,94.5,50.2
43,0,3771,Lionel Andrés Messi Cuccittini,Barcelona,17,Shot,Open Play,Goal,0.15374002,109.6,50.2
44,1,3774,Lionel Andrés Messi Cuccittini,Barcelona,31,Shot,Open Play,Saved,0.09127026,102.5,35.2
45,5,4322,Lionel Andrés Messi Cuccittini,Barcelona,43,Shot,Open Play,Goal,0.050947238,96.4,39.7
46,7,4328,Lionel Andrés Messi Cuccittini,Barcelona,69,Shot,Open Play,Goal,0.11039698,103.9,33.5
47,9,4330,Lionel Andrés Messi Cuccittini,Barcelona,87,Shot,Open Play,Saved Off Target,0.122674935,104.6,36.4
48,2,4487,Lionel Andrés Messi Cuccittini,Barcelona,26,Shot,Open Play,Goal,0.5642936,104.8,28.1
49,4,4489,Lionel Andrés Messi Cuccittini,Barcelona,30,Shot,Open Play,Blocked,0.06691791,100.1,37.0
50,7,4496,Lionel Andrés Messi Cuccittini,Barcelona,60,Shot,Open Play,Blocked,0.15478173,103.0,40.4
51,1,3608,Lionel Andrés Messi Cuccittini,Barcelona,10,Shot,Open Play,Goal,0.7201212,117.2,44.6
52,5,3616,Lionel Andrés Messi Cuccittini,Barcelona,30,Shot,Open Play,Blocked,0.055046868,105.4,51.2
