minute,result,X,Y,xG,player,h_a,player_id,situation,year,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
3,MissedShots,0.780999985,0.387999992,0.045628879,Lionel Messi,h,2097,OpenPlay,2017,LeftFoot,7885,Barcelona,Real Betis,2,0,20-08-2017 19:15,NA,TakeOn
17,BlockedShot,0.758000031,0.454000015,0.024987474,Lionel Messi,h,2097,OpenPlay,2017,LeftFoot,7885,Barcelona,Real Betis,2,0,20-08-2017 19:15,Nélson Semedo,Pass
24,MissedShots,0.841999969,0.487000008,0.089073554,Lionel Messi,h,2097,OpenPlay,2017,LeftFoot,7885,Barcelona,Real Betis,2,0,20-08-2017 19:15,Sergio Busquets,Pass
59,BlockedShot,0.780999985,0.545999985,0.051456057,Lionel Messi,h,2097,OpenPlay,2017,LeftFoot,7885,Barcelona,Real Betis,2,0,20-08-2017 19:15,Sergio Busquets,Pass
80,ShotOnPost,0.799000015,0.705,0.043200277,Lionel Messi,h,2097,OpenPlay,2017,LeftFoot,7885,Barcelona,Real Betis,2,0,20-08-2017 19:15,Sergi Roberto,LayOff
82,SavedShot,0.845999985,0.437000008,0.083687849,Lionel Messi,h,2097,OpenPlay,2017,LeftFoot,7885,Barcelona,Real Betis,2,0,20-08-2017 19:15,Ivan Rakitic,Pass
8,SavedShot,0.805999985,0.646999969,0.031720478,Lionel Messi,a,2097,OpenPlay,2017,LeftFoot,7891,Alaves,Barcelona,0,2,26-08-2017 17:15,Sergio Busquets,Pass
22,SavedShot,0.869000015,0.605999985,0.090151593,Lionel Messi,a,2097,OpenPlay,2017,LeftFoot,7891,Alaves,Barcelona,0,2,26-08-2017 17:15,Gerard Deulofeu,Pass
54,Goal,0.9,0.617999992,0.100550026,Lionel Messi,a,2097,OpenPlay,2017,LeftFoot,7891,Alaves,Barcelona,0,2,26-08-2017 17:15,Jordi Alba,Pass
65,Goal,0.89,0.56,0.426368356,Lionel Messi,a,2097,OpenPlay,2017,LeftFoot,7891,Alaves,Barcelona,0,2,26-08-2017 17:15,Paco Alcácer,Interception
73,ShotOnPost,0.836999969,0.480999985,0.104895033,Lionel Messi,a,2097,OpenPlay,2017,LeftFoot,7891,Alaves,Barcelona,0,2,26-08-2017 17:15,Denis Suárez,Pass
74,BlockedShot,0.864000015,0.53,0.128693968,Lionel Messi,a,2097,OpenPlay,2017,LeftFoot,7891,Alaves,Barcelona,0,2,26-08-2017 17:15,Paco Alcácer,Pass
25,Goal,0.905,0.502999992,0.475532681,Lionel Messi,h,2097,OpenPlay,2017,LeftFoot,7903,Barcelona,Espanyol,5,0,09-09-2017 19:45,Ivan Rakitic,TakeOn
